county,state,county_fips,is_ca,year,param,aqs_mean
"Los Angeles, CA",06,037,True,2019,88101,9.980223599999999
"Cook, IL",17,031,False,2019,88101,9.371159811188809
"Harris, TX",48,201,False,2019,88101,9.414463855263158
"Maricopa, AZ",04,013,False,2019,88101,6.775419212389382
"San Diego, CA",06,073,True,2019,88101,9.596833533333335
"Orange, CA",06,059,True,2019,88101,8.557390519999998
"Miami-Dade, FL",12,086,False,2019,88101,6.885552558139536
"Dallas, TX",48,113,False,2019,88101,8.910834363636365
"Riverside, CA",06,065,True,2019,88101,8.233784607692307
"Kings, NY",36,047,False,2019,88101,7.592373
"Los Angeles, CA",06,037,True,2019,44201,0.04714509615384616
"Cook, IL",17,031,False,2019,44201,0.04202565
"Harris, TX",48,201,False,2019,44201,0.03714914062500001
"Maricopa, AZ",04,013,False,2019,44201,0.04935625
"San Diego, CA",06,073,True,2019,44201,0.0444240625
"Orange, CA",06,059,True,2019,44201,0.04587533333333333
"Miami-Dade, FL",12,086,False,2019,44201,0.03465825
"Dallas, TX",48,113,False,2019,44201,0.04311275
"Riverside, CA",06,065,True,2019,44201,0.05127995
"Los Angeles, CA",06,037,True,2021,88101,12.186335285714286
"Cook, IL",17,031,False,2021,88101,9.777529323671498
"Harris, TX",48,201,False,2021,88101,9.857048714285716
"Maricopa, AZ",04,013,False,2021,88101,8.997441803278688
"San Diego, CA",06,073,True,2021,88101,8.530885045454546
"Orange, CA",06,059,True,2021,88101,10.566182340000003
"Miami-Dade, FL",12,086,False,2021,88101,6.586907604651163
"Dallas, TX",48,113,False,2021,88101,8.555494424242426
"Riverside, CA",06,065,True,2021,88101,9.91915017177914
"Kings, NY",36,047,False,2021,88101,7.637719
"Los Angeles, CA",06,037,True,2021,44201,0.047718642857142855
"Cook, IL",17,031,False,2021,44201,0.04353050000000001
"Harris, TX",48,201,False,2021,44201,0.037007382352941175
"Maricopa, AZ",04,013,False,2021,44201,0.05149951515151516
"San Diego, CA",06,073,True,2021,44201,0.04442709375
"Orange, CA",06,059,True,2021,44201,0.04446250000000001
"Miami-Dade, FL",12,086,False,2021,44201,0.035270125
"Dallas, TX",48,113,False,2021,44201,0.04227591666666667
"Riverside, CA",06,065,True,2021,44201,0.052835171874999996
