census_tract,2014,2019,2021,delta_2014_2021,county
6037120010,34.2985875851445,45.4556445220831,68.4345230332911,34.1359354481466,Los Angeles
6037131020,28.369253614117305,39.5955924908617,57.5109450973001,29.141691483182797,Los Angeles
6037117408,40.2789862860099,39.507548878470494,68.9578570982497,28.6788708122398,Los Angeles
6067005301,40.7507591516872,68.6383695733899,68.7093522369299,27.958593085242704,Sacramento 
6095250701,37.4834207111116,48.1467777546185,65.1211232586018,27.6377025474902,Solano 
6037127210,37.9736953684624,54.3391879339786,65.3697160134319,27.396020644969497,Los Angeles
6085512603,28.03704513538,47.3736617386011,55.2796493658718,27.242604230491796,Santa Clara
6037291110,39.33317991089449,53.9364094070858,66.5389966056171,27.205816694722607,Los Angeles
6037542402,53.9821970741644,61.8418577696932,80.7088130303389,26.726615956174506,Los Angeles
6037570402,44.6475120705746,62.1421714017095,71.2143346008294,26.566822530254804,Los Angeles
6037543202,52.7293910331988,70.8169045439508,79.2901191067663,26.560728073567496,Los Angeles
6037900300,24.850199012342095,40.3025751109686,51.3495545967413,26.499355584399204,Los Angeles
6037570403,48.003677071457695,58.7590597750105,74.3686763105795,26.364999239121808,Los Angeles
6101050202,32.583259882999,39.014016067255,58.9412776412409,26.3580177582419,Sutter 
6037124204,33.106250259275,52.8173563008332,59.2982592740349,26.192009014759897,Los Angeles
6037120107,33.6117274274924,37.215344901778096,59.79996976573,26.1882423382376,Los Angeles
6023000100,12.5652509028213,26.2886062326544,38.4351563464707,25.8699054436494,Humboldt 
6037120020,44.6190121532402,57.3737566850227,70.3290027519602,25.709990598720005,Los Angeles
6033000802,9.72230504968344,25.692695686017,35.14541167073,25.423106621046557,Lake 
6025012200,33.1752147033936,53.1413795723685,58.3763335762997,25.2011188729061,Imperial 
