census_tract,2014,2021,delta_2014_2021,county
6037481712,49.5751222230966,24.0627690756121,-25.5123531474845,Los Angeles
6037481711,47.7154438770037,22.7900999379517,-24.925343939052,Los Angeles
6065030800,48.2921494590772,23.8275228268483,-24.464626632228903,Riverside 
6037482001,49.407028652746,25.1830474052208,-24.2239812475252,Los Angeles
6019001408,59.5235276802706,36.0060590949671,-23.517468585303497,Fresno 
6037481713,38.5744105472086,16.776255995083,-21.7981545521256,Los Angeles
6037185100,40.8566002377045,19.5899713464509,-21.2666288912536,Los Angeles
6071001504,68.2917146506013,47.0292435909151,-21.262471059686206,San Bernardino
6019003900,58.5518892369697,38.0016115997739,-20.550277637195798,Fresno 
6037502802,60.9970129881007,40.5857174938102,-20.4112954942905,Los Angeles
