county,share_2014,share_2021
Alameda ,0.04722222222222222,0.07777777777777778
Alpine ,0.0,0.0
Amador ,0.0,0.0
Butte ,0.0,0.0196078431372549
Calaveras ,0.0,0.0
Colusa ,0.0,0.0
Contra Costa,0.04830917874396135,0.10144927536231885
Del Norte,0.0,0.0
El Dorado,0.0,0.0
Fresno ,0.5879396984924623,0.49246231155778897
Glenn ,0.0,0.0
Humboldt ,0.0,0.0
Imperial ,0.22580645161290322,0.4838709677419355
Inyo ,0.0,0.0
Kern ,0.36423841059602646,0.36423841059602646
Kings ,0.4444444444444444,0.4074074074074074
Lake ,0.0,0.0
Lassen ,0.0,0.0
Los Angeles,0.3649167733674776,0.3866837387964149
Madera ,0.4782608695652174,0.30434782608695654
Marin ,0.0,0.0
Mariposa ,0.0,0.0
Mendocino ,0.0,0.0
Merced ,0.6326530612244898,0.5102040816326531
Modoc ,0.0,0.0
Mono ,0.0,0.0
Monterey ,0.043010752688172046,0.021505376344086023
Napa ,0.0,0.0
Nevada ,0.0,0.0
Orange ,0.09106529209621993,0.09450171821305842
Placer ,0.0,0.0
Plumas ,0.0,0.0
Riverside ,0.16335540838852097,0.11699779249448124
Sacramento ,0.08832807570977919,0.11041009463722397
San Benito,0.0,0.0
San Bernardino,0.3712737127371274,0.25203252032520324
San Diego,0.028708133971291867,0.05741626794258373
San Francisco,0.005128205128205128,0.041025641025641026
San Joaquin,0.38848920863309355,0.2949640287769784
San Luis Obispo,0.0,0.0
San Mateo,0.006369426751592357,0.01910828025477707
Santa Barbara,0.0,0.011235955056179775
Santa Clara,0.043010752688172046,0.010752688172043012
Santa Cruz,0.0,0.019230769230769232
Shasta ,0.0,0.0
Sierra ,0.0,0.0
Siskiyou ,0.0,0.0
Solano ,0.010416666666666666,0.052083333333333336
Sonoma ,0.0,0.0
Stanislaus ,0.425531914893617,0.32978723404255317
Sutter ,0.0,0.19047619047619047
Tehama ,0.0,0.0
Trinity ,0.0,0.0
Tulare ,0.5512820512820513,0.46153846153846156
Tuolumne ,0.0,0.0
Ventura ,0.028901734104046242,0.03468208092485549
Yolo ,0.04878048780487805,0.0975609756097561
Yuba ,0.21428571428571427,0.14285714285714285
