county,high_burden_count,total_tracts,high_burden_share,latitude,longitude,county_norm
Alameda ,24.0,360,0.06666666666666667,37.7043928147261,-122.09997463235916,alameda
Alpine ,0.0,1,0.0,38.6176096,-119.7989986,alpine
Amador ,0.0,9,0.0,38.406694317277044,-120.76866095323567,amador
Butte ,2.0,51,0.0392156862745098,39.66994511905046,-121.71115596041047,butte
Calaveras ,0.0,10,0.0,38.17250193522094,-120.6174827840208,calaveras
Colusa ,0.0,5,0.0,39.14704108224473,-122.13337999318362,colusa
Contra Costa,16.0,207,0.07729468599033816,37.934574273429234,-122.0296240565281,contra costa
Del Norte,0.0,7,0.0,41.781761834120935,-124.1598044891856,del norte
El Dorado,0.0,42,0.0,38.745460581310965,-120.73024755046339,el dorado
Fresno ,104.0,199,0.5226130653266332,36.73936226774507,-119.76700141776529,fresno
Glenn ,0.0,6,0.0,39.65599776897092,-122.19592901588081,glenn
Humboldt ,0.0,30,0.0,40.74699800784635,-124.0640973488906,humboldt
Imperial ,12.0,31,0.3870967741935484,32.846320320949076,-115.53259210459696,imperial
Inyo ,0.0,6,0.0,37.087365371325355,-118.09556403412596,inyo
Kern ,48.0,151,0.31788079470198677,35.369910268292266,-118.94008224480767,kern
Kings ,7.0,27,0.25925925925925924,36.234195824964374,-119.72439145104784,kings
Lake ,0.0,15,0.0,38.98529932532127,-122.7238119435506,lake
Lassen ,0.0,9,0.0,40.415858195050866,-120.52660771917179,lassen
Los Angeles,870.0,2343,0.3713188220230474,34.06536089664985,-118.24440467550934,los angeles
Madera ,7.0,23,0.30434782608695654,37.05436571547874,-119.9949064194167,madera
Marin ,0.0,55,0.0,37.988006569769304,-122.54775212672409,marin
Mariposa ,0.0,6,0.0,37.540192756791406,-119.95018453586103,mariposa
Mendocino ,0.0,20,0.0,39.293900169718015,-123.39444093243702,mendocino
Merced ,30.0,49,0.6122448979591837,37.280543064186666,-120.62438204529678,merced
Modoc ,0.0,4,0.0,41.55528130528598,-120.67579601195541,modoc
Mono ,0.0,3,0.0,37.75262449215603,-118.91035313687507,mono
Monterey ,2.0,93,0.021505376344086023,36.610847350138656,-121.6422267680639,monterey
Napa ,0.0,40,0.0,38.33364536513218,-122.32235016408151,napa
Nevada ,0.0,20,0.0,39.223556922883844,-120.89200784188671,nevada
Orange ,45.0,582,0.07731958762886598,33.733852973942206,-117.86249833093774,orange
Placer ,0.0,84,0.0,38.84881558782115,-121.17762803412975,placer
Plumas ,0.0,7,0.0,40.00500766724646,-120.83818340522318,plumas
Riverside ,76.0,453,0.16777041942604856,33.79959015011346,-117.06641323817041,riverside
Sacramento ,34.0,317,0.10725552050473186,38.56866092487905,-121.38077867114276,sacramento
San Benito,0.0,11,0.0,36.832576665148636,-121.38576839626553,san benito
San Bernardino,119.0,369,0.3224932249322493,34.193322320853866,-117.35608757674879,san bernardino
San Diego,25.0,627,0.03987240829346093,32.88414974743905,-117.11232078062338,san diego
San Francisco,7.0,195,0.035897435897435895,37.760022287722215,-122.43854088964947,san francisco
San Joaquin,52.0,139,0.37410071942446044,37.932881613693596,-121.29746871963137,san joaquin
San Luis Obispo,0.0,53,0.0,35.33635645686349,-120.64628967992078,san luis obispo
San Mateo,4.0,157,0.025477707006369428,37.564819946527734,-122.34031331064402,san mateo
Santa Barbara,0.0,89,0.0,34.6406577551094,-120.09177708963163,santa barbara
Santa Clara,13.0,372,0.03494623655913978,37.314791986882945,-121.91010275272065,santa clara
Santa Cruz,1.0,52,0.019230769230769232,36.98691389370079,-121.93492393393488,santa cruz
Shasta ,0.0,48,0.0,40.583996396889795,-122.29420423098357,shasta
Sierra ,0.0,1,0.0,39.5769252,-120.5219926,sierra
Siskiyou ,0.0,14,0.0,41.5757131659265,-122.49716645904456,siskiyou
Solano ,3.0,96,0.03125,38.2349758599895,-122.07081095173439,solano
Sonoma ,0.0,99,0.0,38.41347882364377,-122.72076162598961,sonoma
Stanislaus ,50.0,94,0.5319148936170213,37.61993273477597,-120.95508346901933,stanislaus
Sutter ,1.0,21,0.047619047619047616,39.13511741669253,-121.650573797492,sutter
Tehama ,0.0,11,0.0,40.10643926969573,-122.22787251305327,tehama
Trinity ,0.0,5,0.0,40.771205023748735,-123.01167862059334,trinity
Tulare ,24.0,78,0.3076923076923077,36.252065009375166,-119.22800332691173,tulare
Tuolumne ,0.0,11,0.0,37.99803463390409,-120.22363538609049,tuolumne
Ventura ,5.0,173,0.028901734104046242,34.24204467865297,-119.02604897709111,ventura
Yolo ,3.0,41,0.07317073170731707,38.60839075756564,-121.72465054030143,yolo
Yuba ,2.0,14,0.14285714285714285,39.14154546936872,-121.50367157510082,yuba
